日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240229,6867,リーダー電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6869,シスメックス,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20240229,6870,日本フェンオール,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6871,日本マイクロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6874,協立電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6875,メガチップス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6879,ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240229,6882,三社電機製作所,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6888,アクモス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240229,6890,フェローテックホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6894,パルステック工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6897,ツインバード,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6898,トミタ電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6899,ＡＳＴＩ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6901,澤藤電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
