日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240329,3166,ＯＣＨＩホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3167,ＴＯＫＡＩホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20240329,3168,黒谷,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3169,ミサワ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3172,ティーライフ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3173,Ｃｏｍｉｎｉｘ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3174,ハピネス・アンド・ディ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3175,エー・ピーホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3176,三洋貿易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3177,ありがとうサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3178,チムニー,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3179,シュッピン,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3180,ビューティガレージ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
